Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12303598,R308,"2024-06-28 09:47:55",0.99600,20,"kirakazantseva,levklyuev,rzuvritreve93"
2,12303291,Dogboost,"2024-06-28 08:51:56",0.99600,12,"egorprakhov,michaelkondrashov,yanaps"
3,12303155,Уточки,"2024-06-28 10:53:28",0.99600,22,"bonifaciyblack,justamouse1293245,leral1408"
4,12303018,DNA,"2024-06-28 09:58:18",0.99400,25,"artem1gr,isy640,notkit268"
5,12303176,Cherti,"2024-06-28 08:33:53",0.99360,17,"dmgoldberg,forquest,mkaggle719"
6,12303386,"Мудрый интеграл","2024-06-28 09:57:33",0.99240,21,"artemkulakov,katyakomkova,selletech"
7,12303024,Baza,"2024-06-28 09:59:27",0.98920,18,"kamilkalimullin,sellezen,tanaxd"
8,12303000,"NTO GymBoys","2024-06-28 09:59:04",0.98920,21,"ilyaguryev,krylovalexander,ne1tr0n"
9,12303305,Бобры,"2024-06-28 09:26:40",0.98160,11,"andrewsjjwiwjdjds,antmike,leolazz"
10,12303081,ъуъ,"2024-06-28 09:46:39",0.97680,17,"aleksandrsokolov3805,codercpp,emelyanovanton"
11,12303290,Data_Kiss,"2024-06-28 09:58:24",0.97600,14,"igorelchinov,maksimucunzan"
12,12303358,"One piece of Selling Pandas","2024-06-25 19:31:14",0.97440,3,"pavelkhoroshikh,vex1ck"
13,12303643,"Институт Синергия","2024-06-28 09:46:52",0.97320,16,"caramelboy14,destrxylxnely,evo18818"
14,12306218,pokrovka,"2024-06-28 09:04:59",0.94480,7,"dimidrosh,ivankabanov"
15,12303187,legrey4ik,"2024-06-28 10:09:22",0.88600,5,"dariaplatushchikhina,legrey4ik,shakleinignat"
